Иннокент~ Смоктуновск~ 
Нодар~ Мгалоблишвил~ 
Вадим~ Медведев~ 
Олег~ Меньшиков~ 
Васил~ Меркурьев~ 
Серге~ Мигицк~ 
Георг~ Милляр~ 
Андре~ Миронов~ 
Александр~ Михайлов~ 
Никит~ Михайловск~ 
Никит~ Михалков~ 
Спартак~ Мишулин~ 
Фрунзик~ Мкртчян~ 
Евгени~ Моргунов~ 
Александр~ Мохов~ 
Андре~ Мягков~ 
Юр~ Назаров~ 
Владимир~ Наумов~ 
Родион~ Нахапетов~ 
Леонид~ Неведомск~ 
Борис~ Невзоров~ 
Вячеслав~ Невинный~ 
Серге~ Никоненк~ 
Юр~ Никулин~ 
Алексе~ Нилов~ 
Борис~ Новиков~ 
Михаил~ Ножкин~ 
Валер~ Носик~ 
Иль~ Носков~ 
Леонид~ Оболенск~ 
Иль~ Олейников~ 
Никола~ Олялин~ 
Иван~ Охлобыстин~ 
Виктор~ Павлов~ 
Алексе~ Панин~ 
Александр~ Панкратов-Черный~ 
Александр~ Пар~ 
Никола~ Парфенов~ 
Никола~ Пастухов~ 
Александр~ Пашутин~ 
Виктор~ Перевалов~ 
Иван~ Переверзев~ 
Алексе~ Петренк~ 
Игор~ Петренк~ 
Борис~ Плотников~ 
Ростислав~ Плятт~ 
Никит~ Подгорный~ 
Серге~ Подгорный~ 
Вячеслав~ Половцев~ 
Андре~ Попов~ 
Михаил~ Пореченков~ 
Александр~ Пороховщиков~ 
Виктор~ Проскурин~ 
Марк~ Прудкин~ 
Лев~ Прыгунов~ 
Михаил~ Пуговкин~ 
Анатол~ Равикович~ 
Константин~ Райкин~ 
Эрнст~ Романов~ 
Анатол~ Ромашин~ 
Андре~ Ростоцк~ 
Иль~ Рутберг~ 
Никола~ Рыбников~ 
Иван~ Рыжов~ 
Станислав~ Садальск~ 
Евген~ Самойлов~ 
Всеволод~ Санаев~ 
Всеволод~ Сафонов~ 
Лев~ Свердлин~ 
Михаил~ Светин~ 
Александр~ Семчев~ 
Виктор~ Сергачев~ 
Алексе~ Серебряков~ 
Евгени~ Сидихин~ 
Борис~ Сичкин~ 
Игор~ Скляр~ 
Вениамин~ Смехов~ 
Валентин~ Смирнитск~ 
Артур~ Смольянинов~ 
Андре~ Смоляков~ 
Андре~ Соколов~ 
Александр~ Соловьев~ 
Анатол~ Солоницын~ 
Даниил~ Спиваковск~ 
Вадим~ Спиридонов~ 
Виктор~ Станицын~ 
Игор~ Старыгин~ 
Евгени~ Стеблов~ 
Владимир~ Стеклов~ 
Виктор~ Степанов~ 
Даниил~ Страхов~ 
Владислав~ Стржельчик~ 
Глеб~ Стриженов~ 
Богдан~ Ступк~ 
Евген~ Стычкин~ 
Виктор~ Сухоруков~ 
Антон~ Табаков~ 
Георг~ Тараторкин~ 
Андре~ Ташков~ 
Борис~ Тенин~ 
Роман~ Ткачук~ 
Борис~ Токарев~ 
Владимир~ Толоконников~ 
Андре~ Толубеев~ 
Юр~ Толубеев~ 
Александр~ Трофимов~ 
Никола~ Трофимов~ 
Евгени~ Урбанск~ 
Андре~ Ургант~ 
Иван~ Ургант~ 
Леонид~ Утесов~ 
Семен~ Фарад~ 
Александр~ Фатюшин~ 
Александр~ Феклистов~ 
Евгени~ Филатов~ 
Александр~ Филиппенк~ 
Виктор~ Филиппов~ 
Михаил~ Филиппов~ 
Серге~ Филиппов~ 
Никола~ Фоменк~ 
Брун~ Фрейндлих~ 
Геннад~ Фролов~ 
Константин~ Хабенск~ 
Дмитр~ Харатьян~ 
Андре~ Харитонов~ 
Леонид~ Харитонов~ 
Борис~ Химичев~ 
Борис~ Хмельницк~ 
Гунар~ Цилинск~ 
Алексе~ Чадов~ 
Андре~ Чадов~ 
Станислав~ Чекан~ 
Никола~ Черкасов~ 
Петр~ Чернов~ 
Юр~ Чернов~ 
Борис~ Чирков~ 
Серге~ Чонишвил~ 
Павел~ Чухрай~ 
Серге~ Шакуров~ 
Владимир~ Шевельков~ 
Всеволод~ Шиловск~ 
Александр~ Ширвиндт~ 
Максим~ Штраух~ 
Борис~ Щербаков~ 
Алексе~ Эйбоженк~ 
Владимир~ Этуш~ 
Георг~ Юматов~ 
Серге~ Юрск~ 
Гирт~ Яковлев~ 
Юр~ Яковлев~ 
Леонид~ Якубович~ 
Всеволод~ Якут~ 
Игор~ Янковск~ 
Ростислав~ Янковск~ 
Филипп~ Янковск~ 
Михаил~ Яншин~ 
Юри~ Ярвет~ 
Леонид~ Ярмольник~ 
Григор~ Ярон~ 
Игор~ Ясулович~ 
Стас Шмелев





